task_id	ep	seed	score_pct	tsr_success	stage_success	goal_success	log
17	0	104	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep0/sync_vlm.log
17	1	105	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep1/sync_vlm.log
17	2	106	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep2/sync_vlm.log
17	3	107	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep3/sync_vlm.log
17	4	108	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep4/sync_vlm.log
17	5	109	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep5/sync_vlm.log
17	6	110	33.3	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep6/sync_vlm.log
17	7	111	33.3	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep7/sync_vlm.log
17	8	112	0.0	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep8/sync_vlm.log
17	9	113	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep9/sync_vlm.log
17	10	114	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep10/sync_vlm.log
17	11	115	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep11/sync_vlm.log
17	12	116	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep12/sync_vlm.log
17	13	117	33.3	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep13/sync_vlm.log
17	14	118	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep14/sync_vlm.log
17	15	119	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep15/sync_vlm.log
17	16	120	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep16/sync_vlm.log
17	17	121	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep17/sync_vlm.log
17	18	122	33.3	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep18/sync_vlm.log
17	19	123	66.7	N	N	N	/data/user/hlei573/vla_memory_experiments/repro_eval_packs/noncount_best6_latestscore_20ep_20260723/outputs/task17/task17_vlm35999_latestd9_20ep_seed104_20260723_204541/task17/ep19/sync_vlm.log
